Attrs.Name.Value,Attrs.Name Kana.Value,Attrs.Address.Value,Attrs.Latitude.Value,Attrs.Longitude.Value,Attrs.Telephone Number.Value,Attrs.City.Value,Attrs.City Code.Value,Attrs.Prefecture.Value,Attrs.Max Occupancy Capacity.Value
ニュータウン北公園,ニュータウンキタコウエン,長崎県西彼杵郡長与町三根郷51-12,32.818337,129.891077,,長与町,423076,長崎県,1248
のぞみ会館,ノゾミカイカン,長崎県諫早市多良見町木床106,32.84638889,129.9722222,%280957%2943-6200,諫早市,422045,長崎県,353人%282平方ﾒｰﾄﾙあたり1人%29
ハマユリックスホール,ハマユリックスホール,長崎県雲仙市南串山町乙2－15,32.68516111,130.157425,,雲仙市,422134,長崎県,1498
ひうみの丘公園,ヒウミノオカコウエン,長崎県佐世保市大和町545-1,33.15653311,129.7541195,0956-24-1111,佐世保市,422029,長崎県,1200
ひょうたん池公園,ヒョウタンイケコウエン,島原市南下川尻町9336,32.765663,130.36561,,島原市,422037,長崎県,3400
フィットネスパーク,フィットネスパーク,長崎県長崎市高城台2-14,32.777956,129.945799,,長崎市,422011,長崎県,5934
ふれあい会館,フレアイカイカン,長崎県雲仙市瑞穂町西郷辛621-8,32.87146389,130.2365556,,雲仙市,422134,長崎県,789
ふれ愛センター度島,フレアイセンタータクシマ,長崎県平戸市度島町1673,33.43250796,129.5147463,0950-25-2834,平戸市,422070,長崎県,222
ヘルシー会館,ヘルシーカイカン,長崎県雲仙市瑞穂町西郷辛621-7,32.87141944,130.2373167,,雲仙市,422134,長崎県,746
ますらがはら展望公園,マスラガハラテンボウコウエン,長崎県大村市雄ケ原町1298-29,32.9375,129.9794444,0957-53-4111,大村市,422053,長崎県,想定なし
まちなかコミュニティセンター,マチナカコミュニティセンター,長崎県佐世保市常盤町6-1,33.17381517,129.7188236,0956-24-5571,佐世保市,422029,長崎県,230
マリーナ広場,マリーナヒロバ,長崎県雲仙市小浜町マリーナ3,32.72339641,130.2022832,,雲仙市,422134,長崎県,500
マリンパーク,マリンパーク,長崎県雲仙市小浜町北本町905-70,32.72716839,130.2055734,,雲仙市,422134,長崎県,100
みそ五郎の森総合公園,ミソゴロウノモリコウエン,西有家町長野2670番地1,32.68062559,130.2702559,0957-65-2323,南島原市,422142,長崎県,7500
みなと坂くすのき公園,ミナトザカクスノキコウエン,長崎県長崎市みなと坂2-27,32.737065,129.836845,,長崎市,422011,長崎県,
みなと坂やしのき公園,ミナトザカヤシノキコウエン,長崎県長崎市みなと坂1-3,32.731227,129.838855,,長崎市,422011,長崎県,
みなと坂星空公園,ミナトザカホシゾラコウエン,長崎県長崎市みなと坂1-22,32.728783,129.835368,,長崎市,422011,長崎県,
みなと坂船の公園,ミナトザカフネノコウエン,長崎県長崎市みなと坂1-33,32.731402,129.833806,,長崎市,422011,長崎県,
みのりこども園,ミノリコドモエン,長崎県平戸市鏡川町252,33.37083616,129.5514725,0950-22-2575,平戸市,422070,長崎県,170
みはる台小学校 屋内運動場,ミハルダイショウガッコウオクナイウンドウジョウ,長崎県諫早市平山町 200,32.83166667,130.0377778,%280957%2922-0955,諫早市,422045,長崎県,298人%282平方ﾒｰﾄﾙあたり1人%29
もみじが丘中央公園,モミジガオカチュウオウコウエン,長崎県佐世保市もみじが丘町2,33.15990113,129.7743551,0956-24-1111,佐世保市,422029,長崎県,14500
もみじが丘第一公園,モミジガオカダイイチコウエン,長崎県佐世保市もみじが丘町28-1,33.16173095,129.7777876,0956-24-1111,佐世保市,422029,長崎県,550
もみじが丘第三公園,モミジガオカダイサンコウエン,長崎県佐世保市もみじが丘町47-60,33.15896345,129.7793428,0956-24-1111,佐世保市,422029,長崎県,800
もみじが丘第四公園,モミジガオカダイヨンコウエン,長崎県佐世保市もみじが丘町6-4,33.15835666,129.7772831,0956-24-1111,佐世保市,422029,長崎県,900
やすらぎの小径,ヤスラギノコミチ,長崎県長崎市琴海村松町701付近,32.868069,129.788585,,長崎市,422011,長崎県,
やまびこ会館,ヤマビコカイカン,長崎県雲仙市小浜町雲仙292－1,32.74126667,130.2581583,,雲仙市,422134,長崎県,288
ゆうやけ公園,ユウヤケコウエン,長崎県長崎市豊洋台1-33,32.829613,129.791583,,長崎市,422011,長崎県,
わだつみの里,ワダツミノサト,長崎県平戸市辻町178,33.21701692,129.4260268,0950-27-2200,平戸市,422070,長崎県,
わらべうた公園,ワラベウタコウエン,長崎県長崎市豊洋台1-16,32.833208,129.791491,,長崎市,422011,長崎県,
一重へき地保育所,ヒトエヘキチホイクショ,上対馬町一重109,34.53275841,129.4461605,0920-87-0359,対馬市,422096,長崎県,19
一重地区集会施設,ヒトエチクシュウカイシセツ,上対馬町一重514-10,34.53030244,129.4447456,0920-87-0726,対馬市,422096,長崎県,60
七目区コミュニティセンター,ナナメクコミュニティセンター,長崎県南松浦郡新上五島町七目郷65番地13,32.980255,129.090509,,新上五島町,424111,長崎県,200
三井楽中学校体育館,ミイラクチュウガッコウタイイクカン,長崎県五島市三井楽町濱ノ畔1258番地,32.743804,128.687935,,五島市,422118,長崎県,100
三井楽町公民館,ミイラクマチコウミンカン,長崎県五島市三井楽町濱ノ畔1044番地1,32.74664177,128.6921898,0959-84-2325,五島市,422118,長崎県,130
三井楽町総合福祉センター,ミイラクソウゴウフクシセンター,長崎県五島市三井楽町濱ノ畔1046番地1,32.746655,128.691605,0959-84-2254,五島市,422118,長崎県,20
三京中央公園,サンキョウチュウオウコウエン,長崎県長崎市三京町815-146付近,32.823689,129.753809,,長崎市,422011,長崎県,
三京南公園,サンキョウミナミコウエン,長崎県長崎市三京町815-350付近,32.820539,129.754977,,長崎市,422011,長崎県,
三会ふれあい運動広場,ミエフレアイウンドウヒロバ,島原市広高野町甲1267,32.803114,130.317898,,島原市,422037,長崎県,7000
三会中学校,ミエチュウガッコウ,島原市下宮町甲2511-2,32.81361111,130.3444444,%280957%2962-3709,島原市,422037,長崎県,981
三会小学校,ミエショウガッコウ,島原市中原町乙1462,32.816954,130.348643,%280957%2962-3604,島原市,422037,長崎県,1157
三会小学校長貫分校,ミエショウガッコウナガヌキブンコウ,島原市長貫町丙1902,32.81303361,130.3244104,%280957%2962-3961,島原市,422037,長崎県,147
三原公園,ミハラコウエン,長崎県長崎市三原1-31,32.782810,129.881117,,長崎市,422011,長崎県,1263
三原台南公園,ミハラダイコウエン,長崎県長崎市三原3-5-9付近,32.778694,129.878145,,長崎市,422011,長崎県,
三和中学校グランド,サンワチュウガッコウグランド,長崎県長崎市為石町2600,32.643953,129.834492,,長崎市,422011,長崎県,8540
三和記念公園,サンワキネンコウエン,長崎県長崎市宮崎町893付近,32.626764,129.830301,,長崎市,422011,長崎県,
三島小学校,ミシマショウガッコウ,壱岐市郷ノ浦町大島815番地,33.73835465,129.6345315,0920-47-0136,壱岐市,422100,長崎県,
三川公園,ミカワコウエン,長崎県長崎市西山台2-16,32.783109,129.892460,,長崎市,422011,長崎県,3757
三川内中央運動公園,ミカワチチュウオウウンドウコウエン,長崎県佐世保市三川内本町380-1,33.15335563,129.8278554,0956-24-1111,佐世保市,422029,長崎県,22000
三川内中学校,ミカワチチュウガッコウ,長崎県佐世保市新行江町957,33.15494139,129.833322,0956-30-8001,佐世保市,422029,長崎県,5480
三川内中学校,ミカワチチュウガッコウ,長崎県佐世保市新行江町957,33.15521457,129.8337489,0956-30-8001,佐世保市,422029,長崎県,350
三川内地区コミュニティセンター,ミカワチチクコミュニティセンター,長崎県佐世保市三川内本町289-1,33.1526749,129.8292802,0956-30-7545,佐世保市,422029,長崎県,250
三川内地区コミュニティセンター　体育室,ミカワチチクコミュニティセンタータイイクシツ,長崎県佐世保市三川内本町358-1,33.15457746,129.8302713,0956-30-7545,佐世保市,422029,長崎県,120
三川内小学校,ミカワチショウガッコウ,長崎県佐世保市口の尾町698,33.15823099,129.8289805,0956-30-8200,佐世保市,422029,長崎県,4750
三川内小学校,ミカワチショウガッコウ,長崎県佐世保市口の尾町698,33.15932348,129.8285636,0956-30-8200,佐世保市,422029,長崎県,360
三川内山公園,ミカワチヤマコウエン,長崎県佐世保市三川内町1092-1,33.13411656,129.8329971,0956-24-1111,佐世保市,422029,長崎県,2500
三川内焼伝統産業会館,ミカワチヤキデントウサンギョウカイカン,長崎県佐世保市三川内本町343,33.15373972,129.8294555,0956-30-8080,佐世保市,422029,長崎県,240
三川内運動広場,ミカワチウンドウヒロバ,長崎県佐世保市三川内町987,33.13023119,129.832905,0956-24-1111,佐世保市,422029,長崎県,2300
三日ノ浦公民館,ミカノウラコウミンカン,長崎県南松浦郡新上五島町三日ノ浦郷142番地12,32.962348,129.054278,,新上五島町,424111,長崎県,86
三景台第４公園,サンケイダイダイヨンコウエン,長崎県長崎市三景台町33,32.724464,129.897344,,長崎市,422011,長崎県,2139
三根下生活館,ミネシモセイカツカン,峰町三根622,34.47128668,129.3214124,,対馬市,422096,長崎県,40
三根保育所,ミネホイクショ,峰町三根65,34.46872973,129.3130329,0920-83-0179,対馬市,422096,長崎県,26
三根浜生活館,ミネハマセイカツカン,峰町三根2-14,34.46392734,129.3101344,,対馬市,422096,長崎県,40
三浦出張所,ミウラシュッチョウショ,長崎県大村市日泊町791,32.8625,129.9877778,0957-52-6475,大村市,422053,長崎県,想定なし
三重公園,ミエコウエン,長崎県長崎市三重町1395付近,32.826259,129.748160,,長崎市,422011,長崎県,2128
上久原公園,カミクバラコウエン,長崎県大村市木場一丁目1112-4,32.89777778,129.9763889,0957-53-4111,大村市,422053,長崎県,想定なし
上五島中学校体育館,カミゴトウチュウガッコウタイイクカン,長崎県南松浦郡新上五島町青方郷538番地,32.992566,129.06705,,新上五島町,424111,長崎県,570
上五島海洋青少年の家,カミゴトウカイヨウセイショウネンノイエ,長崎県南松浦郡新上五島町続浜ノ浦郷172番地1,32.960836,129.027488,,新上五島町,424111,長崎県,106
上五島石油備蓄記念会館,カミゴトウセキユビチクキネンカイカン,長崎県南松浦郡新上五島町青方郷1549番地6,32.983225,129.069968,,新上五島町,424111,長崎県,"1,103"
上五島高校体育館,カミゴトウコウコウタイイクカン,長崎県南松浦郡新上五島町浦桑郷306番地,32.988076,129.081631,,新上五島町,424111,長崎県,516
上原口公園,カミハラグチコウエン,長崎県大村市原口町632,32.93555556,129.95,0957-53-4111,大村市,422053,長崎県,想定なし
上大津住民センター,カミオオズジュウミンセンター,長崎県五島市上大津町80番地,32.686067,128.848391,,五島市,422118,長崎県,50
上大野公民館広場,カミオオノコウミンカンヒロバ,長崎県長崎市上大野町1162,32.868079,129.683894,,長崎市,422011,長崎県,864
上対馬総合ｾﾝﾀｰ,カミツシマソウゴウセンター,上対馬町比田勝575-1,34.65403338,129.4583379,0920-86-3052,対馬市,422096,長崎県,416
上対馬総合運動公園体育館,カミツシマソウゴウウンドウコウエンタイイクカン,上対馬町浜久須33,34.63204495,129.4449537,0920-86-4484,対馬市,422096,長崎県,221
上対馬高等学校,カミツシマコウトウガッコウ,上対馬町大浦230,34.66410346,129.4386115,0920-86-2111,対馬市,422096,長崎県,539
上対馬高等学校体育館,カミツシマコウトウガッコウタイイクカン,上対馬町大浦230,34.66359164,129.438236,,対馬市,422096,長崎県,201
上小島公園,カミコシマコウエン,長崎県長崎市上小島4-8,32.732061,129.886664,,長崎市,422011,長崎県,2457
上小島清水公園,カミコシマシミズコウエン,長崎県長崎市上小島5-1,32.730838,129.887888,,長崎市,422011,長崎県,
上小路公園,ウワコウジコウエン,長崎県大村市玖島二丁目329-1,32.90333333,129.9652778,0957-53-4111,大村市,422053,長崎県,想定なし
上小路口公園,カミオログチコウエン,長崎県大村市小路口町328-5,32.93833333,129.9561111,0957-53-4111,大村市,422053,長崎県,想定なし
上山小学校屋内運動場,ジョウヤマショウガッコウオクナイウンドウジョウ,長崎県諫早市西小路町1031-1,32.83944444,130.0491667,%280957%2922-0211,諫早市,422045,長崎県,267人%282平方ﾒｰﾄﾙあたり1人%29
上山自治公民館,カミヤマジチコウミンカン,厳原町樫根29,34.21685556,129.2362825,,対馬市,422096,長崎県,21
上山荘南館,ジョウヤマソウミナミカン,長崎県諫早市宇都町 29-2,32.8386348,130.0489434,%280957%2923-2488,諫早市,422045,長崎県,200人%282平方ﾒｰﾄﾙあたり1人%29
上志佐公民館,カミシサコウミンカン,松浦市志佐町笛吹免920番地1,33.308105,129.7287,0956-72-0315,松浦市,422088,長崎県,320
上志佐小学校,カミシサショウガッコウ,松浦市志佐町笛吹免901番地,33.306633,129.728289,0956-72-0304,松浦市,422088,長崎県,480
上戸町公園,カミトマチコウエン,長崎県長崎市上戸町1-14,32.716959,129.867178,,長崎市,422011,長崎県,715
上戸石第1公園,カミトイシダイイチコウエン,長崎県長崎市上戸石町2130-10付近,32.774648,129.967644,,長崎市,422011,長崎県,3059
上木場公園,カミコバコウエン,長崎県佐世保市黒髪町2406,33.17318496,129.7858439,0956-24-1111,佐世保市,422029,長崎県,1650
上槻自治公民館,コウツキジチコウミンカン,厳原町上槻309,34.18995506,129.1809628,,対馬市,422096,長崎県,37
上田之浦公園,カミタノウラコウエン,長崎県長崎市田中町1452付近,32.773207,129.944731,,長崎市,422011,長崎県,1659
上相浦公園,カミアイノウラコウエン,長崎県佐世保市新田町67-4,33.19527097,129.6700853,0956-24-1111,佐世保市,422029,長崎県,600
上県地区公民館,カミアガタチクコウミンカン,上県町佐須奈甲567-3,34.6372031,129.3972478,0920-84-2576,対馬市,422096,長崎県,139
上県町ふれあいプラザ,カミアガタマチフレアイプラザ,上県町佐護東里81-1,34.61238157,129.3603816,,対馬市,422096,長崎県,32
上西山公園,カミニシヤマコウエン,長崎県長崎市西山本町7,32.756387,129.883693,,長崎市,422011,長崎県,
上諫早小学校 屋内運動場,カミイサハヤショウガッコウオクナイウンドウジョウ,長崎県諫早市本明町 99-2,32.86666667,130.0411111,%280957%2926-0467,諫早市,422045,長崎県,207人%282平方ﾒｰﾄﾙあたり1人%29
上郷小学校体育館,カミゴウショウガッコウタイイクカン,長崎県南松浦郡新上五島町奈摩郷10番地1,33.019059,129.068606,,新上五島町,424111,長崎県,340
上里研修センター,カミザトケンシュウセンター,長崎県平戸市田平町里免667-2・671-5,33.36236549,129.5978881,,平戸市,422070,長崎県,455
上長与体育館,カミナガヨタイイクカン,長崎県西彼杵郡長与町平木場郷41,32.820078,129.897401,,長与町,423076,長崎県,416
上長与児童館,カミナガヨジドウカン,長崎県西彼杵郡長与町三根郷52-30,32.816384,129.888666,,長与町,423076,長崎県,100
上長与地区公民館,カミナガヨチクコウミンカン,長崎県西彼杵郡長与町平木場郷41-1,32.820078,129.897401,,長与町,423076,長崎県,355
上長崎公園,カミナガサキコウエン,長崎県長崎市片淵1-13,32.754505,129.887270,,長崎市,422011,長崎県,
上黒崎公民館前広場,カミクロサキコウミンカンマエヒロバ,長崎県長崎市上黒崎町680-1,32.842567,129.718279,,長崎市,422011,長崎県,594
下亀区公民館,シモガメクコウミンカン,長崎県平戸市田平町下亀免805-1,33.3540274,129.6101157,,平戸市,422070,長崎県,351
下原口公園,シモハラグチコウエン,長崎県大村市原口町837,32.93638889,129.9452778,0957-53-4111,大村市,422053,長崎県,想定なし
下原地区活動促進施設,シモバルチクカツドウソクシンシセツ,厳原町下原241,34.23039601,129.2150356,0920-56-0953,対馬市,422096,長崎県,30
下大津住民センター,シモオオズジュウミンセンター,長崎県五島市下大津町804番地1,32.68576,128.852259,,五島市,422118,長崎県,40
下宇戸公園,シモウドコウエン,長崎県佐世保市下宇戸町802-1,33.19158753,129.773977,0956-24-1111,佐世保市,422029,長崎県,5050
下寺区公民館,シモデラクコウミンカン,長崎県平戸市田平町下寺免1168-5,33.32366815,129.5797628,,平戸市,422070,長崎県,232
下峰多目的集会所,シモミネタモクテキシュウカイショ,長崎県雲仙市千々石町丙2082-2,32.79382778,130.18935,,雲仙市,422134,長崎県,187
下折橋町集合避難施設,シモオリハシマチシュウゴウヒナンシセツ,島原市下折橋町3691-1,32.787813,130.346193,,島原市,422037,長崎県,536
下田之浦公園,シモタノウラコウエン,長崎県長崎市田中町1152,32.770499,129.945679,,長崎市,422011,長崎県,2681
下里研修センター,シモザトケンシュウセンター,長崎県平戸市田平町里免1230･1233-2,33.36240133,129.5901097,,平戸市,422070,長崎県,232
不老山総合公園,フロウサンソウゴウコウエン,松浦市志佐町高野免367番地1,33.333155,129.721016,-,松浦市,422088,長崎県,-
世知原中学校,セチバルチュウガッコウ,長崎県佐世保市世知原町栗迎132,33.25461935,129.7530694,0956-76-2035,佐世保市,422029,長崎県,340
世知原中学校,セチバルチュウガッコウ,長崎県佐世保市世知原町栗迎132,33.25508361,129.7532716,0956-76-2035,佐世保市,422029,長崎県,4070
世知原地区コミュニティセンター,セチバルチクコミュニティセンター,長崎県佐世保市世知原町栗迎246-1,33.2576975,129.7516832,0956-76-2516,佐世保市,422029,長崎県,140
世知原小学校,セチバルショウガッコウ,長崎県佐世保市世知原町栗迎194-1,33.2570329,129.7528971,0956-76-2014,佐世保市,422029,長崎県,3260
世知原小学校,セチバルショウガッコウ,長崎県佐世保市世知原町栗迎194-1,33.25674694,129.7535454,0956-76-2014,佐世保市,422029,長崎県,300
丘の上公園,オカノウエコウエン,長崎県西彼杵郡長与町吉無田郷875-5,32.808529,129.877767,,長与町,423076,長崎県,2658
中ノ浦地区集会所,ナカノウラチクシュウカイショ,長崎県南松浦郡新上五島町宿ノ浦郷1105番地16,32.903907,129.068193,,新上五島町,424111,長崎県,69
中五島高校体育館,ナカゴトウコウコウタイイクカン,長崎県南松浦郡新上五島町宿ノ浦郷162番地1,32.883516,129.059781,,新上五島町,424111,長崎県,542
中園公園,ナカゾノコウエン,長崎県長崎市中園町18,32.792821,129.858644,,長崎市,422011,長崎県,1931
中央グラウンド,チュウオウグラウンド,長崎県波佐見町宿郷1538-1,33.13544862,129.8811248,0956-85-2111,波佐見町,423238,長崎県,3650
中央ふれあい体育館,チュウオウフレアイタイイクカン,長崎県諫早市仲沖町454,32.84472222,130.0686111,%280957%2921-2668,諫早市,422045,長崎県,504人%282平方ﾒｰﾄﾙあたり1人%29
中央公園,チュウオウコウエン,長崎県佐世保市谷郷町､八幡町外6町,33.17722559,129.7207462,0956-24-1111,佐世保市,422029,長崎県,68500
中央公園,チュウオウコウエン,長崎県長崎市賑町5,32.746995,129.877011,,長崎市,422011,長崎県,3135
中央公園（市民体育館）,チュウオウコウエンシミンタイイクカン,長崎県五島市三尾野町266番1号,32.686593,128.83497,,五島市,422118,長崎県,600
中央小学校グラウンド,チュウオウショウガッコウグラウンド,長崎県波佐見町折敷瀬郷1986,33.14162231,129.8964034,0956-26-7013,波佐見町,423238,長崎県,5050
中央小学校体育館,チュウオウショウガッコウタイイクカン,長崎県波佐見町折敷瀬郷1986,33.1417885,129.8956846,0956-85-2034,波佐見町,423238,長崎県,280
中学校グラウンド,チュウガッコウグラウンド,長崎県波佐見町折敷瀬郷1999,33.13987685,129.8965233,0956-26-7010,波佐見町,423238,長崎県,11300
中学校体育館,チュウガッコウタイイクカン,長崎県波佐見町折敷瀬郷1999,33.14072543,129.8973437,0956-85-2034,波佐見町,423238,長崎県,330
中対馬開発総合ｾﾝﾀｰ,ナカツシマカイハツソウゴウセンター,峰町佐賀608-1,34.45737403,129.3686651,0920-82-0709,対馬市,422096,長崎県,162
中山公民館,ナカヤマコウミンカン,長崎県南松浦郡新上五島町岩瀬浦郷545番地17,32.87715631,129.07628,,新上五島町,424111,長崎県,46
中山地区多目的集会施設,ナカヤマチクタモクテキシュウカイシセツ,上県町佐護南里1464,34.59510226,129.325707,,対馬市,422096,長崎県,15
中島公園,ナカシマコウエン,長崎県西彼杵郡時津町日並郷2093-3,32.844639,129.82502,,時津町,423084,長崎県,
中町公園,ナカマチコウエン,長崎県長崎市中町2,32.751176,129.875512,,長崎市,422011,長崎県,5100
